 IDnum	freq	P(case)	P(+incident)
721	1	0.111228	0
722	1	0.133493	1
723	1	0.0444775	1
724	1	0.110914	1
725	1	0.111228	0
726	1	0.110914	1
727	1	0.1049	0
728	1	0.110914	1
729	1	0.111228	0
730	1	0.120852	0
731	1	0.101075	0
732	1	0.107614	0
733	1	0.111228	0
734	1	0.107614	0
735	1	0.111228	0
736	1	0.110914	1
737	1	0.101075	0
738	1	0.133493	1
739	1	0.111228	0
740	1	0.101075	0
741	1	0.133493	1
742	1	0.0444775	1
743	1	0.0444775	1
744	1	0.101075	0
745	1	0.113377	1
746	1	0.133493	1
747	1	0.107614	0
748	1	0.0444775	1
749	1	0.120852	0
750	1	0.1049	0
751	1	0.133493	1
752	1	0.0444775	1
753	1	0.0444775	1
754	1	0.0444775	1
755	1	0.107614	0
756	1	0.111228	0
757	1	0.133493	1
758	1	0.107614	0
759	1	0.110914	1
760	1	0.120852	0
761	1	0.1049	0
762	1	0.0300151	1
763	1	0.111228	0
764	1	0.113377	1
765	1	0.0300151	1
766	1	0.110914	1
767	1	0.133493	1
768	1	0.110914	1
769	1	0.101075	0
770	1	0.133493	1
771	1	0.107614	0
772	1	0.113377	1
773	1	0.107614	0
774	1	0.120852	0
775	1	0.101075	0
776	1	0.110914	1
777	1	0.0300151	1
778	1	0.1049	0
779	1	0.133493	1
780	1	0.0167767	1
781	1	0.120852	0
782	1	0.111228	0
783	1	0.111228	0
784	1	0.111228	0
785	1	0.107614	0
786	1	0.107614	0
787	1	0.111228	0
788	1	0.110914	1
789	1	0.110914	1
790	1	0.107614	0
791	1	0.111228	0
792	1	0.111228	0
793	1	0.1049	0
794	1	0.0300151	1
795	1	0.110914	1
796	1	0.120852	0
797	1	0.133493	1
798	1	0.111228	0
799	1	0.0300151	1
800	1	0.111228	0
801	1	0.110914	1
802	1	0.111228	0
803	1	0.1049	0
804	1	0.107614	0
805	1	0.120852	0
806	1	0.120852	0
807	1	0.113377	1
808	1	0.0300151	1
809	1	0.133493	1
810	1	0.133493	1
811	1	0.0444775	1
812	1	0.0300151	1
813	1	0.120852	0
814	1	0.110914	1
